Wall time,Step,Value
1512913555.311698,69012,-1.0
1512913577.2265987,69105,-2.0
1512913785.456136,69638,-6.0
1512913790.3018863,69672,22.0
1512913805.4366648,69714,-1.0
1512913862.275365,69920,-19.0
1512913883.6668806,70005,2.0
1512913936.5290527,70186,8.0
1512913951.787303,70228,-1.0
1512914083.6602154,70712,-1.0
1512914101.7178416,70776,-1.0
1512914172.054861,71015,-2.0
1512914185.7345834,71045,2.0
1512914268.5669293,71231,2.0
1512914301.8015962,71329,-1.0
1512914391.8047018,71624,-8.0
1512914395.028626,71646,12.0
1512914433.9700394,71777,2.0
1512914451.012197,71831,2.0
1512914456.1587362,71869,2.0
1512914488.5352507,71967,-2.0
1512914488.8236406,71969,-2.0
1512914544.8110006,72175,2.0
1512914561.6902695,72230,-1.0
1512914563.2729304,72242,-1.0
1512914613.6830475,72415,-88.0
1512914634.779608,72503,1.0
1512914721.467071,72803,2.0
1512914828.4859595,73166,8.0
1512914828.6295516,73167,-2.0
1512914829.3024642,73172,-1.0
1512915056.1757414,73782,-1.0
1512915092.219213,73904,-1.0
1512915125.1631815,74007,2.0
1512915142.6736112,74067,-2.0
1512915178.6747935,74192,-8.0
1512915181.8302577,74217,2.0
1512915308.6282349,74671,2.0
1512915356.113059,74822,-1.0
1512915377.1226492,74912,-1.0
1512915412.9633915,75046,-1.0
1512915483.497554,75292,-8.0
1512915485.879312,75310,-1.0
1512915647.409399,75893,2.0
1512915794.7194235,76179,-1.0
1512915795.0877836,76182,-32.0
1512915795.9897966,76189,1.0
1512915835.5165544,76346,-1.0
1512915868.440178,76452,-34.0
1512915901.2592375,76558,0.0
1512915955.4274573,76734,20.0
1512916024.7768524,76955,2.0
1512916066.1900048,77115,-9.0
1512916139.8196845,77375,-2.0
1512916154.1372485,77410,11.0
1512916244.612221,77725,2.0
1512916300.6219537,77929,-2.0
1512916352.5424607,78102,-1.0
1512916368.91555,78153,0.0
1512916410.5191562,78321,2.0
1512916424.5683496,78356,26.0
1512916461.191421,78488,-1.0
1512916523.1013973,78718,-1.0
1512916540.0500114,78771,23.0
1512916571.9882946,78860,-1.0
1512916660.467625,78971,-2.0
1512916674.40869,78990,-1.0
1512916718.313151,79143,2.0
1512916748.5038614,79230,-1.0
1512916811.8591764,79408,-1.0
1512916951.4615831,79821,-2.0
1512916989.5031855,79939,2.0
1512917008.8057458,80002,-1.0
1512917049.3333054,80143,9.0
1512917091.694954,80297,-2.0
1512917114.2695937,80381,2.0
1512917240.1671064,80769,65.0
1512917243.535744,80786,-12.0
1512917249.3416898,80827,-2.0
1512917278.2776642,80898,-1.0
1512917317.2454023,81045,-2.0
1512917505.9500756,81361,-2.0
1512917530.9176924,81460,-1.0
1512917549.202387,81509,-2.0
1512917589.826795,81643,-1.0
1512917675.1165395,81907,-1.0
1512917846.5422869,82471,0.0
1512917849.6008627,82490,12.0
1512917900.4013684,82629,2.0
1512917920.6207783,82699,2.0
1512917964.024667,82861,-2.0
1512917964.6457107,82865,-2.0
1512918004.2668567,83000,53.0
1512918122.9861305,83350,-78.0
1512918178.0346582,83538,71.0
1512918183.9356182,83580,-32.0
1512918195.5403435,83588,-1.0
1512918196.3558416,83594,-1.0
1512918201.100688,83630,-1.0
1512918201.6247191,83634,-1.0
1512918230.8167655,83712,-1.0
1512918249.996511,83783,1.0
1512918251.6231513,83795,-24.0
1512918254.4056664,83816,-1.0
1512918404.102257,84057,2.0
1512918404.513481,84059,-2.0
1512918705.2985349,85060,-1.0
1512918713.1016505,85115,-6.0
1512918983.0952635,86051,2.0
1512919001.1902661,86104,12.0
1512919005.8249705,86137,2.0
1512919022.9540517,86188,-1.0
1512919182.9975133,86381,29.0
1512919195.8786933,86400,82.0
1512919260.8753288,86628,-1.0
1512919274.7382016,86658,-1.0
1512919301.9782617,86782,-1.0
1512919312.3151207,86790,-1.0
1512919330.8624246,86856,-6.0
1512919412.8954773,87113,-2.0
1512919432.9981608,87178,6.0
1512919437.61576,87208,-1.0
1512919569.6804276,87621,28.0
1512919574.5195627,87650,9.0
1512919653.0899153,87899,9.0
1512919657.0049446,87925,-2.0
1512919657.3097148,87927,-2.0
1512919671.2462864,87955,2.0
1512919838.4796023,88493,-2.0
1512920007.6766853,88816,12.0
1512920047.0983064,88921,-2.0
1512920109.7010276,89114,-19.0
1512920132.1365774,89202,-1.0
1512920190.2966764,89392,8.0
1512920204.090151,89418,-1.0
1512920222.338395,89472,-1.0
1512920224.3704174,89486,-21.0
1512920224.6376276,89488,-1.0
1512920320.1913717,89810,23.0
1512920381.4880717,90034,-1.0
1512920511.5156806,90449,-70.0
1512920516.317051,90482,-48.0
1512920573.5100992,90650,12.0
1512920590.588538,90697,2.0
1512920671.9568582,90981,-89.0
1512920913.293409,91482,-1.0
1512920949.7998676,91585,-2.0
1512920972.1832783,91653,2.0
1512920999.7332823,91772,-15.0
1512921013.7374704,91790,23.0
1512921083.07651,92023,-2.0
1512921164.9032774,92268,-1.0
1512921180.7869263,92305,2.0
1512921182.8991933,92319,-9.0
1512921260.2908697,92591,2.0
