Wall time,Step,Value
1512900178,24089,2
1512900198,24161,2
1512900201,24186,-6
1512900212,24194,-41
1512900231,24265,2
1512900253,24357,-2
1512900304,24535,-10
1512900309,24573,-2
1512900320,24586,-1
1512900324,24615,-99
1512900354,24711,0
1512900356,24726,-18
1512900391,24836,6
1512900398,24891,7
1512900412,24925,2
1512900426,24965,1
1512900451,25074,-27
1512900557,25430,-11
1512900578,25521,12
1512900609,25623,-2
1512900610,25626,-12
1512900642,25733,-28
1512900665,25849,-99
1512900698,25962,4
1512900728,26056,-1
1512900729,26062,3
1512900769,26191,-2
1512900822,26351,-2
1512900855,26456,-1
1512900856,26462,-1
1512900860,26493,-79
1512900983,26921,-1
1512901001,26993,-1
1512901021,27038,-9
1512901024,27061,2
1512901056,27164,-1
1512901183,27640,21
1512901199,27696,-1
1512901211,27721,47
1512901249,27860,21
1512901324,28123,-12
1512901358,28228,-42
1512901383,28343,0
1512901412,28420,6
1512901453,28574,-6
1512901525,28822,92
1512901565,28961,2
1512901640,29235,9
1512901695,29391,2
1512901714,29472,-1
1512901733,29544,-1
1512901746,29570,-62
1512901803,29793,-63
1512901805,29806,-1
1512901819,29845,-14
1512901853,29954,69
1512901859,29996,-8
1512901860,30006,-1
1512901909,30156,8
1512901914,30172,-8
1512901932,30240,16
1512901946,30276,-1
1512901951,30312,35
1512901988,30449,-22
1512901989,30458,46
1512902037,30603,17
1512902040,30622,-1
1512902076,30759,22
1512902108,30860,6
1512902150,31027,-1
1512902200,31152,43
1512902216,31204,21
1512902219,31223,2
1512902249,31308,-6
1512902252,31328,6
1512902326,31588,-6
1512902347,31670,-1
1512902383,31800,-1
1512902396,31824,-1
1512902414,31888,-1
1512902432,31955,2
1512902434,31963,9
1512902435,31974,6
1512902526,32280,15
1512902531,32319,0
1512902547,32361,9
1512902579,32460,-1
1512902604,32574,-8
1512902649,32705,-1
1512902708,32931,2
1512902725,32991,0
1512902742,33044,-1
1512902759,33101,2
1512902763,33127,0
1512902778,33167,-2
1512902815,33299,-34
1512902817,33320,-1
1512902820,33341,-9
1512902854,33396,-24
1512902872,33459,-29
1512902884,33478,-8
1512902904,33564,24
1512902924,33635,2
1512902959,33753,2
1512902982,33848,8
1512903000,33912,8
1512903033,34023,2
1512903052,34093,13
1512903088,34219,-2
1512903100,34243,-2
1512903121,34331,-2
1512903124,34351,-2
1512903181,34518,1
1512903215,34633,-2
1512903255,34717,-2
1512903307,34884,21
1512903383,35163,9
1512903398,35207,2
1512903419,35293,-9
1512903421,35310,66
1512903436,35353,-2
1512903438,35368,-15
1512903453,35415,-1
1512903493,35570,8
1512903511,35630,-27
1512903524,35654,6
1512903526,35669,2
1512903530,35697,-2
1512903589,35902,-1
1512903599,35909,0
1512903599,35910,-1
1512903601,35927,-2
1512903659,36152,-1
1512903660,36159,-2
1512903723,36357,-2
1512903723,36362,-1
1512903728,36398,-1
1512903760,36501,-2
1512903775,36547,-2
1512903800,36665,-2
1512903830,36748,22
1512903836,36797,1
1512903869,36906,-1
1512903882,36936,-1
1512903912,37011,-2
1512903912,37014,-1
1512903953,37179,9
1512903968,37218,-1
1512903968,37220,-1
1512904003,37329,2
1512904038,37454,-1
1512904056,37523,-2
1512904060,37551,-2
1512904129,37781,9
1512904147,37841,16
1512904168,37925,0
1512904208,38073,2
1512904208,38075,2
1512904224,38125,-1
1512904241,38184,-11
1512904260,38248,8
1512904278,38311,1
1512904279,38319,7
1512904323,38395,2
1512904337,38431,-9
1512904374,38562,15
1512904377,38589,-14
1512904390,38613,-2
1512904392,38624,6
1512904409,38678,23
1512904410,38688,-1
1512904431,38770,6
1512904449,38838,8
1512904576,39290,-23
1512904590,39324,-83
1512904606,39373,-2
1512904626,39455,-2
1512904626,39456,-1
1512904628,39474,-1
1512904647,39545,-2
1512904676,39626,-6
1512904737,39791,2
1512904738,39794,-1
1512904769,39888,-1
1512904769,39889,28
1512904788,39963,-2
1512904829,40120,-6
1512904830,40124,8
1512904847,40181,5
1512904883,40305,-2
1512904895,40322,8
1512904896,40331,-2
1512904959,40572,-1
1512904987,40644,-1
1512905028,40813,9
1512905042,40843,22
1512905049,40895,-2
1512905082,40997,9
1512905082,41002,-6
1512905098,41044,0
1512905204,41309,-2
1512905218,41344,-15
1512905226,41401,9
1512905261,41520,11
1512905291,41605,-2
1512905422,42050,1
1512905496,42313,2
1512905498,42327,1
1512905516,42391,17
1512905535,42466,-1
1512905539,42493,-9
1512905554,42532,-1
1512905574,42613,-2
1512905588,42646,-1
1512905588,42652,0
1512905622,42768,-1
1512905674,42944,-1
1512905682,43004,-1
1512905740,43112,1
1512905742,43122,-1
1512905758,43171,-2
1512905761,43195,2
1512905774,43219,33
1512905778,43247,-2
1512905797,43319,-2
1512905848,43481,2
1512905849,43491,9
1512905866,43544,15
1512905882,43595,-2
1512905885,43619,-2
1512905887,43632,-1
1512905904,43684,-1
1512905924,43761,-2
1512905938,43796,-1
1512905939,43805,-2
1512905940,43814,0
1512905954,43848,6
1512905972,43915,-2
1512905975,43934,-1
1512905990,43977,-2
1512905996,44019,-2
1512906008,44036,8
1512906031,44133,9
1512906046,44178,-1
1512906047,44181,0
1512906104,44391,-7
1512906106,44404,8
1512906181,44570,-1
1512906181,44573,-12
1512906201,44650,-1
1512906216,44692,-1
1512906236,44765,2
1512906237,44777,2
1512906237,44778,6
1512906251,44807,2
1512906310,45027,22
1512906327,45085,-2
1512906382,45279,13
1512906398,45327,2
1512906421,45428,-1
1512906421,45429,2
1512906435,45466,-1
1512906437,45479,2
1512906473,45608,12
1512906491,45672,-1
1512906491,45673,0
1512906505,45706,-1
1512906508,45726,-12
1512906511,45749,0
1512906650,46142,-1
1512906678,46211,7
1512906697,46283,2
1512906698,46290,-1
1512906698,46291,-2
1512906699,46298,-1
1512906720,46388,-1
1512906721,46395,2
1512906737,46448,-1
1512906739,46462,-1
1512906751,46483,2
1512906767,46531,8
1512906774,46587,-17
1512906790,46631,-2
1512906881,46954,-1
1512906933,47123,-2
1512906935,47142,-1
1512906953,47202,6
1512906968,47239,-5
1512907027,47467,-17
1512907097,47626,-32
1512907243,48137,2
1512907301,48379,13
1512907316,48422,-6
1512907319,48443,2
1512907370,48616,-8
1512907385,48658,-62
1512907388,48681,2
1512907391,48698,-6
1512907425,48817,-1
1512907457,48898,8
1512907500,49072,8
1512907517,49127,9
1512907531,49159,9
1512907554,49266,-1
1512907566,49283,-2
1512907585,49357,2
1512907607,49449,2
1512907625,49510,-1
1512907642,49563,-5
1512907644,49580,8
1512907740,49748,8
1512907758,49811,-2
1512907778,49894,-1
1512907780,49907,13
1512907795,49950,-1
1512907815,50030,-1
1512907831,50076,-1
1512907833,50094,-1
1512907848,50138,-1
1512907848,50139,9
1512907851,50160,-1
1512907864,50187,2
1512907870,50234,-1
1512907920,50389,2
1512907937,50445,-2
1512907941,50476,-1
1512907961,50557,0
1512907971,50562,-6
1512907995,50666,1
1512908011,50715,-2
1512908027,50768,6
1512908030,50783,-2
1512908086,50990,65
1512908103,51054,-6
1512908105,51065,2
1512908121,51110,6
1512908138,51160,-17
1512908176,51293,2
1512908176,51296,12
1512908191,51335,2
1512908194,51360,-1
1512908269,51627,-2
1512908301,51718,-6
1512908306,51749,2
1512908340,51855,2
1512908389,51911,2
1512908446,52102,-62
1512908553,52475,-12
1512908569,52520,-1
1512908570,52524,1
1512908589,52601,-13
1512908672,52864,-11
1512908676,52887,2
1512908711,53013,1
1512908728,53070,-1
1512908770,53232,-1
1512908770,53236,12
1512908790,53301,13
1512908808,53368,-1
1512908826,53427,9
1512908837,53441,-13
1512908858,53529,2
1512908861,53550,-1
1512908874,53579,2
1512908893,53651,-2
1512908897,53678,-1
1512908899,53695,2
1512908909,53700,-1
1512908931,53792,-73
1512908931,53798,-1
1512908933,53809,-2
1512908963,53894,-1
1512908985,53986,12
1512909002,54043,-2
1512909038,54165,9
1512909124,54320,-1
1512909160,54436,8
1512909161,54449,-94
1512909179,54508,-5
1512909196,54559,-9
1512909268,54788,-1
1512909269,54800,-1
1512909292,54901,-2
1512909304,54920,12
1512909307,54937,2
1512909309,54955,2
1512909329,55033,-2
1512909394,55235,-2
1512909418,55344,12
1512909435,55406,-1
1512909436,55412,-1
1512909452,55457,-2
1512909466,55492,-1
1512909488,55583,2
1512909543,55779,-2
1512909628,55956,1
1512909630,55974,6
1512909631,55976,12
1512909663,56072,12
1512909663,56073,-2
1512909670,56121,2
1512909686,56172,-6
1512909689,56188,6
1512909724,56305,2
1512909736,56323,-2
1512909832,56674,-1
1512909833,56686,-1
1512909834,56694,-15
1512909866,56783,13
1512909868,56800,95
1512909872,56827,17
1512909888,56877,2
1512909903,56923,-13
1512909924,57006,-1
1512909961,57150,45
1512909972,57160,-1
1512909994,57253,-2
1512910031,57397,-2
1512910068,57528,-1
1512910120,57715,2
1512910169,57748,8
1512910174,57779,2
1512910186,57802,-1
1512910206,57879,-2
1512910208,57894,-1
1512910222,57933,-2
1512910244,58024,15
1512910260,58069,-2
1512910295,58188,-1
1512910315,58270,-8
1512910316,58272,-1
1512910318,58286,-1
1512910330,58307,50
1512910405,58581,-2
1512910406,58592,8
1512910458,58776,60
1512910474,58830,-1
1512910491,58885,2
1512910494,58905,24
1512910532,59056,-1
1512910534,59067,2
1512910567,59179,2
1512910570,59199,-2
1512910601,59300,-1
1512910618,59355,-23
1512910634,59405,2
1512910654,59488,-8
1512910669,59531,-2
1512910689,59606,-1
1512910758,59840,15
1512910775,59905,1
1512910779,59933,-2
1512910870,60130,0
1512910884,60165,-1
1512910886,60175,2
1512910909,60281,0
1512910940,60370,-1
1512910944,60406,6
1512910989,60519,-2
1512911003,60551,2
1512911008,60591,-2
1512911129,61010,-1
1512911133,61037,-2
1512911147,61069,0
1512911150,61099,0
1512911166,61148,1
1512911217,61316,-1
1512911258,61487,-33
1512911349,61815,1
1512911350,61821,12
1512911363,61850,12
1512911365,61866,8
1512911380,61901,90
1512911385,61943,-2
1512911399,61978,-47
1512911400,61986,-1
1512911434,62097,-13
1512911453,62169,2
1512911475,62252,5
1512911487,62274,12
1512911492,62306,12
1512911531,62454,-12
1512911544,62480,0
1512911615,62575,2
1512911634,62634,12
1512911636,62651,-2
1512911647,62661,-2
1512911665,62725,-2
1512911670,62757,2
1512911722,62937,2
1512911757,63052,12
1512911762,63088,-1
1512911777,63134,-9
1512911779,63145,2
1512911795,63197,-2
1512911799,63220,12
1512911831,63317,-2
1512911847,63366,6
1512911888,63524,-8
1512911997,63889,0
1512912016,63958,-6
1512912033,64012,6
1512912037,64040,1
1512912038,64046,-1
1512912218,64450,1
1512912275,64664,-1
1512912293,64727,2
1512912295,64738,-1
1512912349,64928,-1
1512912350,64935,-33
1512912350,64937,-2
1512912405,65125,40
1512912407,65144,1
1512912407,65146,-1
1512912438,65238,-1
1512912461,65334,-1
1512912472,65350,8
1512912477,65388,-1
1512912496,65456,-1
1512912528,65552,8
1512912534,65594,-1
1512912549,65636,-1
1512912563,65671,-2
1512912623,65902,-1
1512912637,65934,6
1512912639,65954,79
1512912641,65967,-4
1512912655,66006,-8
1512912671,66050,-1
1512912678,66101,-2
1512912731,66288,-12
1512912733,66303,-2
1512912749,66353,-2
1512912780,66445,-2
1512912781,66448,-36
1512912782,66457,-1
1512912802,66533,2
1512912806,66559,22
1512912816,66563,52
1512912817,66573,-2
1512912821,66604,-1
1512912908,66775,2
1512912926,66837,1
1512912960,66944,-1
1512912999,67082,-8
1512913037,67220,-1
1512913055,67284,-1
1512913118,67460,-1
1512913120,67480,-1
1512913139,67550,-1
1512913154,67587,-9
1512913158,67610,-1
1512913192,67722,-1
1512913209,67779,-2
1512913230,67862,-1
1512913267,67995,2
1512913267,67998,6
1512913288,68078,-1
1512913300,68099,-1
1512913318,68163,-2
1512913392,68436,-1
1512913394,68450,-1
1512913397,68472,-8
1512913408,68485,9
1512913409,68493,0
1512913415,68532,-1
1512913415,68533,2
1512913427,68552,-1
1512913462,68673,9
1512913499,68806,-1
1512913505,68850,-8
1512913542,68984,-1
1512913555,69011,2
1512913555,69012,-1
1512913577,69105,-2
1512913717,69411,-7
1512913719,69428,83
1512913785,69638,-6
1512913790,69672,22
1512913805,69714,-1
1512913809,69742,-62
1512913862,69920,-19
1512913865,69942,-1
1512913882,69990,1
1512913884,70005,2
1512913884,70010,-6
1512913899,70048,8
1512913937,70186,8
1512913952,70228,-1
1512913987,70349,-13
1512914084,70712,-1
1512914084,70713,-2
1512914097,70737,0
1512914101,70771,-2
1512914102,70776,-1
1512914172,71015,-2
1512914186,71045,2
1512914249,71160,-1
1512914262,71184,-1
1512914269,71231,2
1512914302,71329,-1
1512914305,71356,21
1512914343,71486,-1
1512914392,71624,-8
1512914395,71646,12
1512914434,71777,2
1512914451,71831,2
1512914456,71869,2
1512914489,71967,-2
1512914489,71969,-2
1512914545,72175,2
1512914558,72204,-1
1512914562,72230,-1
1512914563,72242,-1
1512914599,72372,1
1512914614,72415,-88
1512914629,72459,4
1512914635,72503,1
1512914721,72803,2
1512914811,73112,0
1512914828,73166,8
1512914829,73167,-2
1512914829,73172,-1
1512914872,73343,-22
1512914980,73499,-33
1512915003,73599,-2
1512915056,73782,-1
1512915075,73850,8
1512915092,73904,-1
1512915093,73909,2
1512915125,74007,2
1512915126,74015,-2
1512915143,74067,-2
1512915143,74068,-1
1512915166,74168,-1
1512915179,74192,-8
1512915182,74217,2
1512915182,74218,-8
1512915217,74336,-1
1512915255,74482,-1
1512915269,74516,-1
1512915309,74671,2
1512915356,74822,-1
1512915377,74912,-1
1512915413,75046,-1
1512915416,75067,2
1512915430,75102,-1
1512915468,75249,1
1512915483,75292,-8
1512915486,75310,-1
1512915588,75663,2
1512915630,75835,-16
1512915647,75893,2
1512915677,75976,63
1512915682,76013,-2
1512915794,76175,1
1512915795,76179,-1
1512915795,76182,-32
1512915796,76189,1
1512915800,76219,-2
1512915836,76346,-1
1512915868,76452,-34
1512915901,76558,0
1512915902,76567,47
1512915933,76640,-13
1512915949,76691,16
1512915955,76734,20
1512916007,76896,0
1512916025,76955,2
1512916064,77098,65
1512916066,77115,-9
1512916102,77239,13
1512916140,77375,-2
1512916154,77410,11
1512916175,77490,-1
1512916208,77592,-1
1512916227,77664,-76
1512916245,77725,2
1512916301,77929,-2
1512916321,78008,-16
1512916353,78102,-1
1512916369,78153,0
1512916411,78321,2
1512916412,78332,-1
1512916425,78356,26
1512916427,78377,60
1512916461,78488,-1
1512916523,78718,-1
1512916540,78771,23
1512916572,78860,-1
1512916574,78871,-26
1512916660,78971,-2
1512916674,78990,-1
1512916676,79001,-31
1512916718,79143,2
1512916749,79230,-1
1512916812,79408,-1
1512916835,79484,-1
