Wall time,Step,Value
1512893493.3218908,3,797.8236083984375
1512893533.5341332,5,624.5125122070312
1512893585.9526467,8,539.2095947265625
1512893603.722986,9,496.7146911621094
1512893657.932748,12,372.3314208984375
1512893749.680463,17,288.4107971191406
1512893785.583608,19,224.23753356933594
1512893820.7192583,21,198.7609405517578
1512893878.4242182,24,157.14422607421875
1512893931.6661854,27,120.3326644897461
1512893967.0108945,29,138.00994873046875
1512894056.2398388,34,94.87030029296875
1512894074.0280552,35,97.03377532958984
1512894093.6480842,36,78.60950469970703
1512894111.5076687,37,95.03923797607422
1512894129.2105887,38,97.11235046386719
1512894164.4631472,40,87.82325744628906
1512894182.2242253,41,80.21023559570312
1512894199.9535074,42,86.99085998535156
1512894254.9559035,45,86.03958892822266
1512894272.626119,46,78.49579620361328
1512894328.641526,49,83.41886138916016
1512894363.205214,51,69.70941162109375
1512894402.0431516,53,60.219154357910156
1512894419.5851362,54,66.43907165527344
1512894454.6113997,56,55.07425308227539
1512894472.4915478,57,63.59271240234375
1512894492.1376467,58,81.95630645751953
1512894509.762743,59,61.44251251220703
1512894709.6260016,70,64.8081283569336
1512894834.410048,77,50.720829010009766
1512894909.4832442,81,35.975948333740234
1512894926.6802733,82,40.416168212890625
1512894944.1913822,83,41.690799713134766
1512895019.5242572,87,44.38693618774414
1512895074.4510694,90,35.74573516845703
1512895092.0401254,91,30.573471069335938
1512895164.6685598,95,35.47077560424805
1512895217.8841403,98,43.30843734741211
1512895270.5438318,101,34.16605758666992
1512895344.8708754,105,33.52296447753906
1512895362.5809925,106,30.530149459838867
1512895380.5525792,107,43.762176513671875
1512895398.0241504,108,27.1219539642334
1512895507.6384935,114,31.388994216918945
1512895544.5176322,116,22.835054397583008
1512895655.6058824,122,24.007099151611328
1512895727.808946,126,31.599393844604492
1512895780.6999066,129,22.605091094970703
1512895836.6426523,132,24.18409538269043
1512895858.8625147,133,26.708354949951172
1512895894.6295671,135,21.032270431518555
1512895946.5537145,138,25.104576110839844
1512895964.0289266,139,26.327505111694336
1512895982.0995715,140,25.68703269958496
1512896019.4467928,142,23.84088134765625
1512896108.8316576,147,22.498825073242188
1512896263.3437495,155,19.887685775756836
1512896337.8230028,159,19.172744750976562
1512896355.5051649,160,20.144227981567383
1512896373.4025168,161,31.031986236572266
1512896466.0906093,166,23.08342170715332
1512896483.8167963,167,20.13250732421875
1512896538.5612597,170,20.149919509887695
1512896614.08189,174,31.860111236572266
1512896632.5848951,175,21.593408584594727
1512896722.7609925,180,18.81319808959961
1512896740.6931124,181,24.183982849121094
1512896794.9573615,184,16.50946044921875
1512896815.3189619,185,18.600637435913086
1512896833.042692,186,19.512256622314453
1512896855.243618,187,23.664640426635742
1512896872.2950356,188,18.503114700317383
1512896959.1910052,193,18.093170166015625
1512896976.8684938,194,17.046592712402344
1512897048.0421324,198,18.589445114135742
1512897084.8632624,200,15.880986213684082
1512897105.3065362,201,16.862398147583008
1512897176.5335195,205,22.202247619628906
1512897211.7420087,207,13.967201232910156
1512897268.4972954,210,17.671953201293945
1512897361.479395,215,15.929963111877441
1512897437.6550508,219,19.914581298828125
1512897455.9571228,220,15.51155948638916
1512897492.638984,222,11.683999061584473
1512897510.0453565,223,11.569269180297852
1512897527.7222981,224,18.202136993408203
1512897581.6229868,227,15.019408226013184
1512897616.7514377,229,19.719839096069336
1512897690.2000778,233,18.879915237426758
1512897725.2888522,235,17.537113189697266
1512897747.760007,236,17.08571434020996
1512897765.301441,237,16.383686065673828
1512897783.069863,238,15.579185485839844
1512897837.268345,241,18.478858947753906
1512897855.6777954,242,13.546939849853516
1512897911.0043488,245,17.2742862701416
1512897946.2892077,247,12.984724044799805
1512898019.7195427,251,11.69104290008545
1512898056.2551606,253,13.738846778869629
1512898183.5848155,260,16.070392608642578
1512898219.390357,262,23.226882934570312
1512898255.7315426,264,14.922633171081543
1512898440.385618,274,13.179454803466797
1512898461.2835333,275,11.8258695602417
1512898501.7678783,277,17.06524658203125
1512898519.7150831,278,17.34705924987793
1512898555.1773453,280,11.109694480895996
1512898572.9833956,281,12.198429107666016
1512898644.382081,285,10.947206497192383
1512898680.3095655,287,16.426929473876953
1512898698.2541769,288,12.804265975952148
1512898770.6373417,292,14.340770721435547
1512898824.4038658,295,16.92426300048828
1512898842.527593,296,15.062946319580078
1512898860.73044,297,18.086397171020508
1512898879.4424243,298,12.78616714477539
1512898897.4874487,299,12.747899055480957
1512898920.37427,300,14.575945854187012
1512898956.8602705,302,11.790303230285645
1512898992.969512,304,12.557462692260742
1512899104.6260273,310,13.721484184265137
1512899140.6718075,312,12.131593704223633
1512899158.712709,313,9.675021171569824
1512899177.0361109,314,16.972806930541992
1512899215.4043818,316,10.993348121643066
1512899268.4334528,319,13.940564155578613
1512899376.7096758,325,13.108407974243164
1512899433.6069849,328,14.124614715576172
1512899469.6669445,330,8.79555892944336
1512899488.518673,331,11.713706016540527
1512899542.2264695,334,14.756240844726562
1512899560.268134,335,9.582599639892578
1512899613.531679,338,11.077376365661621
1512899631.4729648,339,11.338399887084961
1512899649.2484493,340,9.346985816955566
1512899666.7056894,341,13.323034286499023
1512899686.6579726,342,16.52397918701172
1512899726.754987,344,12.711295127868652
1512899744.9043314,345,14.413901329040527
1512899782.8994017,347,9.82894229888916
1512899801.0636146,348,12.202025413513184
1512899837.8643117,350,11.87155818939209
1512899949.9424405,356,8.965611457824707
1512899968.2438104,357,12.785337448120117
1512900004.7144065,359,11.368450164794922
1512900022.9545712,360,15.446158409118652
1512900059.111241,362,17.086820602416992
1512900095.447492,364,11.222187042236328
1512900131.569382,366,12.510014533996582
1512900149.6129704,367,15.910076141357422
1512900167.6735651,368,13.770047187805176
1512900188.300606,369,12.323966979980469
1512900224.8060286,371,13.585495948791504
